gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,total_services,tenure_x_MonthlyCharges,tenure_bin,MonthlyCharges_bin,Churn
0,-0.43991649313097614,1,0,-1.2774445836787656,0,0,0,1,0,0,0,0,1,-1.1603229160349193,0.0,0,0,0,0,0,1,0,1,29.85,0,0,0
1,-0.43991649313097614,0,0,0.06632741908223598,1,0,1,0,1,0,0,0,0,-0.2596289419448806,0.0,0,0,1,0,0,0,1,2,1936.3000000000002,2,1,0
1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,1,0,0,0,0,1,-0.3626603559551803,0.0,0,0,0,0,0,0,1,2,107.7,0,1,1
1,-0.43991649313097614,0,0,0.5142514200025698,0,0,1,0,1,1,0,0,0,-0.7465354629935549,0.0,0,0,1,0,0,0,0,3,1903.4999999999998,2,1,0
0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,0,0,0,0,0,1,0.19736523310080326,0.0,1,0,0,0,0,1,0,0,141.4,0,2,1
0,-0.43991649313097614,0,0,-0.9924020376385531,1,1,0,0,1,0,1,1,1,1.1595456961969886,0.0,1,0,0,0,0,1,0,4,797.2,0,3,1
1,-0.43991649313097614,0,1,-0.4223169455581282,1,1,0,1,0,0,1,0,1,0.8089065291619363,0.0,1,0,0,0,1,0,0,3,1960.1999999999998,1,2,0
0,-0.43991649313097614,0,0,-0.9109613101984924,0,0,1,0,0,0,0,0,0,-1.1636465100352518,0.0,0,0,0,0,0,0,1,1,297.5,1,0,0
0,-0.43991649313097614,1,0,-0.1779947632379461,1,1,0,0,1,1,1,1,1,1.330710787214099,0.0,1,0,0,0,0,1,0,5,2934.4,1,3,1
1,-0.43991649313097614,0,1,1.2064976032430856,1,0,1,1,0,0,0,0,0,-0.28621769394753876,0.0,0,0,1,0,0,0,0,2,3481.2999999999997,3,1,0
1,-0.43991649313097614,1,1,-0.7888002190384014,1,0,1,0,0,0,0,0,1,-0.4922805219681379,0.0,0,0,0,0,0,0,1,1,649.35,1,1,0
1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,0,0,0,0,0,0,0,-1.5225946620711341,0.0,0,1,0,1,1,0,0,0,303.2,1,0,0
1,-0.43991649313097614,1,0,1.0436161483629645,1,1,0,0,1,0,1,1,0,1.182810854199314,0.0,1,0,1,0,1,0,0,4,5820.299999999999,3,3,0
1,-0.43991649313097614,0,0,0.6771328748826912,1,1,0,1,1,0,1,1,1,1.2941512532104444,0.0,1,0,0,0,0,0,0,5,5081.3,2,3,1
1,-0.43991649313097614,0,0,-0.30015585439803716,1,0,1,0,1,1,1,1,1,1.3539759452164248,0.0,1,0,0,0,0,1,0,5,2637.5,1,3,0
0,-0.43991649313097614,1,1,1.4915401492832983,1,1,1,1,1,1,1,1,0,1.611554480242174,0.0,1,0,0,1,1,0,0,7,7814.25,3,3,0
0,-0.43991649313097614,0,0,0.7992939660427822,1,0,0,0,0,0,0,0,0,-1.4660935640654862,0.0,0,1,1,0,0,0,1,0,1073.8,2,0,0
1,-0.43991649313097614,0,1,1.5729808767233588,1,1,1,0,1,0,1,1,0,1.393859073220412,0.0,1,0,0,1,0,0,0,5,7575.7,3,3,0
0,-0.43991649313097614,1,1,-0.9109613101984924,1,0,0,0,1,1,0,0,0,-0.31779183695069496,0.0,0,0,0,0,1,0,0,2,552.0,1,1,1
0,-0.43991649313097614,0,0,-0.46303730927815856,1,0,0,1,1,0,0,1,1,0.8404806721650927,0.0,1,0,0,0,0,1,0,3,1891.05,1,3,0
