feature,coefficient,odds_ratio,effect,strength
InternetService_Fiber optic,1.1488080360388593,3.154430700213581,Increase Risk,2.154430700213581
Contract_Two year,-1.9636226570198785,0.1403490623464476,Decrease Risk,0.8596509376535524
InternetService_No,-1.3610113397933374,0.2564013369095672,Decrease Risk,0.7435986630904328
Contract_One year,-0.9078269853328391,0.40339986612333606,Decrease Risk,0.596600133876664
TotalCharges,-0.8712594820533477,0.41842421944106156,Decrease Risk,0.5815757805589384
PaperlessBilling,0.452728240769845,1.5725967607533113,Increase Risk,0.5725967607533113
StreamingMovies,0.4192448198128282,1.5208126342821107,Increase Risk,0.5208126342821107
PaymentMethod_Electronic check,0.37379610720401624,1.4532408149145473,Increase Risk,0.45324081491454726
OnlineSecurity,-0.4765379531628806,0.6209293614709264,Decrease Risk,0.37907063852907363
MultipleLines,0.30112831213646885,1.351382729219079,Increase Risk,0.351382729219079
TechSupport,-0.4133851251544549,0.6614075091020116,Decrease Risk,0.3385924908979884
StreamingTV,0.2618017997026404,1.2992690014054424,Increase Risk,0.29926900140544244
total_services,0.24347470757732642,1.2756740525453014,Increase Risk,0.2756740525453014
Dependents,-0.2953306943509908,0.7442854157818363,Decrease Risk,0.25571458421816373
OnlineBackup,-0.2888911943692636,0.7490937065819206,Decrease Risk,0.25090629341807935
tenure,0.14532058858511437,1.156410242771702,Increase Risk,0.156410242771702
DeviceProtection,-0.12280842973469924,0.8844330774121594,Decrease Risk,0.11556692258784063
PhoneService,-0.11967726897610381,0.8872067196515211,Decrease Risk,0.11279328034847891
MonthlyCharges,-0.10916217102025226,0.896585005602655,Decrease Risk,0.10341499439734503
tenure_bin,-0.06778785610166944,0.9344586922608331,Decrease Risk,0.06554130773916689
SeniorCitizen,0.03322506305979741,1.033783179466501,Increase Risk,0.03378317946650089
PaymentMethod_Mailed check,-0.022145400071454102,0.97809800919121,Decrease Risk,0.021901990808789962
Partner,0.014435280319911103,1.0145399721241497,Increase Risk,0.014539972124149703
PaymentMethod_Credit card (automatic),-0.008928168442148667,0.9911115693040172,Decrease Risk,0.008888430695982774
gender,0.0036694076709016888,1.0036761481892775,Increase Risk,0.0036761481892775283
