feature,odds_ratio,log_odds,p_value
InternetService_Fiber optic,4.3407942496568985,1.4680573382019926,0.05
PaymentMethod_Electronic check,4.143540779657544,1.4215506830969618,0.05
PaperlessBilling,2.665047030972575,0.9802217051065836,0.05
SeniorCitizen,2.23656789811845,0.8049425025260476,0.05
MonthlyCharges,1.6604436410049608,0.5070848202800117,0.05
StreamingTV,1.3920135660917845,0.3307513076203306,0.05
StreamingMovies,1.338593805464675,0.291619664051312,0.05
MultipleLines,1.2199678757607944,0.19882452705487813,0.05
PhoneService,1.1481756170384276,0.1381742627119707,0.05
gender,0.9900780786670499,-0.009971471622912165,0.05
total_services,0.8474976387852935,-0.1654672258254619,0.05
DeviceProtection,0.7408552472453749,-0.29995002061592346,0.05
OnlineBackup,0.6679999613112034,-0.40346716336285315,0.05
TotalCharges,0.602581171828718,-0.5065328976650106,0.05
PaymentMethod_Mailed check,0.5958720984020739,-0.5177292349431817,0.05
Partner,0.5106022738549485,-0.6721643208847311,0.05
tenure_bin,0.4618934221875211,-0.7724211024187445,0.05
PaymentMethod_Credit card (automatic),0.4167636115432186,-0.8752360967131078,0.05
tenure,0.4023978417335958,-0.9103140236960912,0.05
TechSupport,0.3948103790971328,-0.9293496822619582,0.05
Dependents,0.39360615539595206,-0.9324044752170942,0.05
OnlineSecurity,0.3688469519018713,-0.9973734854737675,0.05
Contract_One year,0.284978965216243,-1.255339907696099,0.05
InternetService_No,0.1698539173043969,-1.7728165213244722,0.05
Contract_Two year,0.0598451335274551,-2.8159951614377183,0.05
